"date","network","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2025-09-29,"MSNBC/MSNow",-22.8252,-22.8252,-22.8252,30.6572,30.6572,30.6572
2025-09-29,"NBC",-12.5041,-12.5041,-12.5041,19.0796,19.0796,19.0796
2025-10-06,"ABC",-6.0043,-6.0043,-6.0043,14.0397,14.0397,14.0397
2025-10-06,"CBS",-7.7009,-7.7009,-7.7009,17.0211,17.0211,17.0211
2025-10-06,"CNN",-16.6107,-16.6107,-16.6107,25.2771,25.2771,25.2771
2025-10-06,"Fox",0.0668,0.0668,0.0668,18.4443,18.4443,18.4443
2025-10-06,"MSNBC/MSNow",-23.44,-23.44,-23.44,31.2757,31.2757,31.2757
2025-10-06,"NBC",-12.5003,-12.5003,-12.5003,19.2518,19.2518,19.2518
2025-10-13,"ABC",-6.3647,-6.3647,-6.3647,14.474,14.474,14.474
2025-10-13,"CBS",-7.331,-7.331,-7.331,16.8115,16.8115,16.8115
2025-10-13,"CNN",-16.8631,-16.8631,-16.8631,25.5722,25.5722,25.5722
2025-10-13,"Fox",0.2591,0.2591,0.2591,18.8244,18.8244,18.8244
2025-10-13,"MSNBC/MSNow",-24.2599,-24.2599,-24.2599,31.9872,31.9872,31.9872
2025-10-13,"NBC",-12.9548,-12.9548,-12.9548,19.9788,19.9788,19.9788
2025-10-20,"ABC",-7.034,-7.034,-7.034,15.2025,15.2025,15.2025
2025-10-20,"CBS",-7.1401,-7.1401,-7.1401,16.6467,16.6467,16.6467
2025-10-20,"CNN",-17.182,-17.182,-17.182,25.9021,25.9021,25.9021
2025-10-20,"Fox",0.1254,0.1254,0.1254,19.2586,19.2586,19.2586
2025-10-20,"MSNBC/MSNow",-25.0719,-25.0719,-25.0719,32.6356,32.6356,32.6356
2025-10-20,"NBC",-13.0718,-13.0718,-13.0718,20.5034,20.5034,20.5034
2025-10-27,"ABC",-7.449,-7.449,-7.449,15.5804,15.5804,15.5804
2025-10-27,"CBS",-7.0408,-7.0408,-7.0408,16.6243,16.6243,16.6243
2025-10-27,"CNN",-17.4522,-17.4522,-17.4522,26.2693,26.2693,26.2693
2025-10-27,"Fox",0.2191,0.2191,0.2191,19.57,19.57,19.57
2025-10-27,"MSNBC/MSNow",-25.8959,-25.8959,-25.8959,33.3532,33.3532,33.3532
2025-10-27,"NBC",-13.1863,-13.1863,-13.1863,20.9831,20.9831,20.9831
2025-11-03,"ABC",-7.8473,-7.8473,-7.8473,15.9736,15.9736,15.9736
2025-11-03,"CBS",-6.9788,-6.9788,-6.9788,16.5282,16.5282,16.5282
2025-11-03,"CNN",-17.7841,-17.7841,-17.7841,26.684,26.684,26.684
2025-11-03,"Fox",0.3776,0.3776,0.3776,19.6505,19.6505,19.6505
2025-11-03,"MSNBC/MSNow",-26.7603,-26.7603,-26.7603,34.0525,34.0525,34.0525
2025-11-03,"NBC",-13.6892,-13.6892,-13.6892,21.6649,21.6649,21.6649
2025-11-10,"ABC",-8.6461,-8.6461,-8.6461,16.7912,16.7912,16.7912
2025-11-10,"CBS",-7.0443,-7.0443,-7.0443,16.4962,16.4962,16.4962
2025-11-10,"CNN",-18.2188,-18.2188,-18.2188,27.1428,27.1428,27.1428
2025-11-10,"Fox",0.1662,0.1662,0.1662,19.7436,19.7436,19.7436
2025-11-10,"MSNBC/MSNow",-27.5921,-27.5921,-27.5921,34.7346,34.7346,34.7346
2025-11-10,"NBC",-13.8837,-13.8837,-13.8837,21.9532,21.9532,21.9532
2025-11-17,"ABC",-9.1366,-9.1366,-9.1366,17.456,17.456,17.456
2025-11-17,"CBS",-6.9796,-6.9796,-6.9796,16.384,16.384,16.384
2025-11-17,"CNN",-18.7114,-18.7114,-18.7114,27.6726,27.6726,27.6726
2025-11-17,"Fox",0.3883,0.3883,0.3883,19.6157,19.6157,19.6157
2025-11-17,"MSNBC/MSNow",-28.2437,-28.2437,-28.2437,35.2362,35.2362,35.2362
2025-11-17,"NBC",-14.1714,-14.1714,-14.1714,22.2,22.2,22.2
2025-11-24,"ABC",-9.5934,-9.5934,-9.5934,18.1535,18.1535,18.1535
2025-11-24,"CBS",-6.7289,-6.7289,-6.7289,16.1414,16.1414,16.1414
2025-11-24,"CNN",-19.2135,-19.2135,-19.2135,28.1492,28.1492,28.1492
2025-11-24,"Fox",0.8049,0.8049,0.8049,19.4159,19.4159,19.4159
2025-11-24,"MSNBC/MSNow",-28.5933,-28.5933,-28.5933,35.4031,35.4031,35.4031
2025-11-24,"NBC",-14.1894,-14.1894,-14.1894,21.9496,21.9496,21.9496
2025-12-01,"ABC",-9.4736,-9.4736,-9.4736,18.1579,18.1579,18.1579
2025-12-01,"CBS",-6.4296,-6.4296,-6.4296,15.8894,15.8894,15.8894
2025-12-01,"CNN",-19.6811,-19.6811,-19.6811,28.5476,28.5476,28.5476
2025-12-01,"Fox",1.3735,1.3735,1.3735,19.0902,19.0902,19.0902
2025-12-01,"MSNBC/MSNow",-28.8434,-28.8434,-28.8434,35.4676,35.4676,35.4676
2025-12-01,"NBC",-13.6561,-13.6561,-13.6561,21.0914,21.0914,21.0914
2025-12-08,"ABC",-9.3208,-9.3208,-9.3208,18.0083,18.0083,18.0083
2025-12-08,"CBS",-6.1435,-6.1435,-6.1435,15.7822,15.7822,15.7822
2025-12-08,"CNN",-20.1208,-20.1208,-20.1208,28.8725,28.8725,28.8725
2025-12-08,"Fox",1.7391,1.7391,1.7391,18.8559,18.8559,18.8559
2025-12-08,"MSNBC/MSNow",-28.9454,-28.9454,-28.9454,35.478,35.478,35.478
2025-12-08,"NBC",-13.3384,-13.3384,-13.3384,20.2889,20.2889,20.2889
2025-12-15,"ABC",-9.2991,-9.2991,-9.2991,17.9431,17.9431,17.9431
2025-12-15,"CBS",-6.2356,-6.2356,-6.2356,16.0811,16.0811,16.0811
